combinacion,accuracy,precision,recall,f1,auc
1_base_pasado,0.8727824463118581,0.9246672951700248,0.7507253600099681,0.8286668631496218,0.9197493654132346
2_base_mas_lead1,0.8747446895424836,0.9280948200175593,0.7526655867850977,0.831224997297005,0.9211695856080044
3_base_mas_leads,0.8879478874883286,0.935104251055302,0.7807543744103669,0.8509870495222389,0.9329083135518499
4_base_mas_subsistemas,0.9472163865546218,0.9889508281883754,0.8810409583652254,0.9318823662311255,0.9543261279623168
5_base_leads_subsistemas,0.9472236811391224,0.9882876411668462,0.8816639669627441,0.9319359906676576,0.9545851286975349
