combinacion,accuracy,precision,recall,f1,auc
1_solo_facility,0.6882928887337058,0.6382027082478458,0.5522788203753352,0.5921399541227644,0.7438879213850909
2_facility_lag1,0.6991460079143389,0.6575622288674556,0.5543916339683611,0.601585604331031,0.7549259926036114
3_facility_lag1_lag24,0.8017632681564246,0.8234783576276844,0.6569784990146121,0.7308657093760493,0.8483821916059344
4_facility_lags,0.8382579725325885,0.8736572105055466,0.7075439873586279,0.7818750797060929,0.8845231100305248
5_facility_lags_rolling,0.8640814129422719,0.9042749731471535,0.7473678603767555,0.8183682793347137,0.9124798794927651
6_todas_con_class,0.8724685754189944,0.9237508466059295,0.7506879960229391,0.8282759025995651,0.9190673840000705
