combinacion,accuracy,precision,recall,f1,auc
1_solo_facility,0.8754037303226933,0.8891175125743027,0.8049537739754381,0.8449449594438007,0.93240951297813
2_facility_lag1,0.8847149882154393,0.8993629607159108,0.8182006347454119,0.856864161849711,0.9414421913079334
3_facility_lag1_lag24,0.8928914365525068,0.9177161399984548,0.8195115220091073,0.8658381018332908,0.9470328874818462
4_facility_lags,0.8960630837722233,0.9128364076201996,0.8331033531116324,0.871149267729601,0.9541418766723546
5_facility_lags_rolling,0.915587627666075,0.9217783598923088,0.8740168345522286,0.8972624570598859,0.9672684639082293
6_todas_con_class,0.915587627666075,0.9217783598923088,0.8740168345522286,0.8972624570598859,0.9672684639082293
