fold,accuracy,precision,recall,f1,kappa,fpr,auc
1,0.8485863095238095,0.8438003846228559,0.7735513053388895,0.8071502234444826,0.6829023647399406,0.09935255887513282,0.8652610115418007
2,0.9055716036414566,0.9162944486339115,0.8461538461538461,0.8798284457069652,0.8022623538714978,0.053389077993192244,0.9226955356748074
3,0.9163238211951448,0.9329317891311927,0.8574556328877339,0.8936028122768126,0.8248528995708178,0.04280117168670976,0.932873374830439
